Product, Quantity Ordered,Price Each,Month,City,Hour,Sales
15,2,11.95,4,3,8,23.9
7,1,99.99,4,2,22,99.99
9,1,600,4,4,14,600
17,1,11.99,4,4,14,11.99
17,1,11.99,4,4,9,11.99
,,,,,,
Product Value,Product,,,,,
0,Atlanta GA,,,,,
1,Austin TX,,,,,
2,Boston MA,,,,,
3,Dallas TX,,,,,
4,Los Angeles CA,,,,,
5,New York City NY,,,,,
6,"Portland ME',",,,,,
7, Portland OR,,,,,
8,San Francisco CA,,,,,
9,Seattle WA',,,,,
,,,,,,
,,,,,,
City Value,City,,,,,
0,20in Monitor,,,,,
1,27in 4K Gaming Monitor,,,,,
2,27in FHD Monitor,,,,,
3,34in Ultrawide Monitor,,,,,
4,AA Batteries (4-pack),,,,,
5,AAA Batteries (4-pack),,,,,
6,Apple Airpods Headphones,,,,,
7,Bose SoundSport Headphones,,,,,
8,Flatscreen TV,,,,,
9,Google Phone,,,,,
10,LG Dryer,,,,,
11,LG Washing Machine,,,,,
12,Lightning Charging Cable,,,,,
13,Macbook Pro Laptop,,,,,
14,ThinkPad Laptop,,,,,
15,USB-C Charging Cable,,,,,
16,Vareebadd Phone,,,,,
17,Wired Headphones,,,,,
18,iPhone,,,,,
